Quantity,Name,Simple Name,Set,CardNumber,SetCode,Printing,Condition,Language,Rarity,Product ID,SKU
2,Fantastical Dragon Phantazmay,Fantastical Dragon Phantazmay,Duel Overload,DUOV-EN074,DUOV,1st Edition,Near Mint,English,Ultra Rare,210283,4346564
1,Invoked Mechaba,Invoked Mechaba,Shadows in Valhalla,SHVA-EN041,SHVA,1st Edition,Near Mint,English,Super Rare,173527,3827025
1,Toon Kingdom (Blue),Toon Kingdom,Dragons of Legend: The Complete Series,DLCS-EN074,DLCS,1st Edition,Near Mint,English,Ultra Rare,222320,4579222
1,Zoodiac Barrage,Zoodiac Barrage,2017 Mega-Tins Mega Pack,MP17-EN212,MP17,1st Edition,Near Mint,English,Secret Rare,141708,3455587
1,Ghost Ogre & Snow Rabbit (Alternate Art),Ghost Ogre & Snow Rabbit,Maximum Gold,MAGO-EN009,MAGO,1st Edition,Near Mint,English,Premium Gold Rare,227424,4678622
1,"Lilith, Lady of Lament","Lilith, Lady of Lament",Structure Deck: Lair of Darkness,SR06-EN000,SR06,1st Edition,Near Mint,English,Ultra Rare,165461,3641451
1,Tour Guide From the Underworld,Tour Guide From the Underworld,Duel Overload,DUOV-EN057,DUOV,1st Edition,Near Mint,English,Ultra Rare,210265,4346478
1,Starliege Seyfert,Starliege Seyfert,2020 Tin of Lost Memories,MP20-EN158,MP20,1st Edition,Near Mint,English,Ultra Rare,220882,4533005
1,Mimicat,Mimicat,Dragons of Legend: The Complete Series,DLCS-EN078,DLCS,1st Edition,Near Mint,English,Ultra Rare,221622,4538482
1,Comic Hand (Green),Comic Hand,Dragons of Legend: The Complete Series,DLCS-EN077,DLCS,1st Edition,Near Mint,English,Ultra Rare,222242,4578832
1,Foolish Burial Goods,Foolish Burial Goods,Structure Deck: Lair of Darkness,SR06-EN026,SR06,1st Edition,Near Mint,English,Common / Short Print,165495,3641601
1,Shiranui Solitaire,Shiranui Solitaire,Structure Deck: Zombie Horde,SR07-EN018,SR07,1st Edition,Near Mint,English,Common / Short Print,179271,3902607
1,The Weather Painter Snow,The Weather Painter Snow,Spirit Warriors,SPWA-EN029,SPWA,1st Edition,Near Mint,English,Secret Rare,152420,3541750
1,The Weather Painter Rainbow,The Weather Painter Rainbow,Spirit Warriors,SPWA-EN035,SPWA,1st Edition,Near Mint,English,Secret Rare,152440,3541901
1,The Phantom Knights of Break Sword,The Phantom Knights of Break Sword,Battles of Legend: Light's Revenge,BLLR-EN071,BLLR,1st Edition,Near Mint,English,Secret Rare,136860,3415409
1,Condemned Witch,Condemned Witch,Soul Fusion,SOFU-EN028,SOFU,Unlimited,Near Mint,English,Secret Rare,177990,3923294
1,Darklord Amdusc,Darklord Amdusc,Destiny Soldiers,DESO-EN033,DESO,1st Edition,Near Mint,English,Secret Rare,125289,3251319
1,Dogmatika Maximus,Dogmatika Maximus,Rise of the Duelist,ROTD-EN009,ROTD,1st Edition,Near Mint,English,Secret Rare,218884,4511544
2,Superdreadnought Rail Cannon Juggernaut Liebe,Superdreadnought Rail Cannon Juggernaut Liebe,Legendary Duelists: Season 2,LDS2-EN124,LDS2,1st Edition,Near Mint,English,Secret Rare,230369,4717655
1,World Legacy Guardragon,World Legacy Guardragon,2020 Tin of Lost Memories,MP20-EN029,MP20,1st Edition,Near Mint,English,Prismatic Secret Rare,220705,4532119
1,"Apollousa, Bow of the Goddess","Apollousa, Bow of the Goddess",2020 Tin of Lost Memories,MP20-EN126,MP20,1st Edition,Near Mint,English,Ultra Rare,220851,4532850
1,Linkuriboh,Linkuriboh,Duel Power,DUPO-EN071,DUPO,Unlimited,Near Mint,English,Ultra Rare,186961,4160974
1,Nekroz of Brionac,Nekroz of Brionac,Duel Power,DUPO-EN086,DUPO,Unlimited,Near Mint,English,Ultra Rare,186976,4161014
1,Mystic Mine,Mystic Mine,2020 Tin of Lost Memories,MP20-EN080,MP20,1st Edition,Near Mint,English,Prismatic Secret Rare,220797,4532560
1,Beginning Knight,Beginning Knight,Dimension of Chaos,DOCS-EN022,DOCS,Unlimited,Near Mint,English,Super Rare,107652,3529423
1,War Rock Meteoragon,War Rock Meteoragon,Lightning Overdrive,LIOV-EN088,LIOV,1st Edition,Near Mint,English,Secret Rare,239560,4955964
1,Starving Venom Fusion Dragon,Starving Venom Fusion Dragon,Fists of the Gadgets,FIGA-EN060,FIGA,1st Edition,Near Mint,English,Super Rare,196984,4164554
1,Traptrix Cularia,Traptrix Cularia,Lightning Overdrive,LIOV-EN046,LIOV,1st Edition,Near Mint,English,Ultra Rare,239510,4955584
1,Sacred Scrolls of the Gizmek Legend,Sacred Scrolls of the Gizmek Legend,Dawn of Majesty,DAMA-EN060,DAMA,1st Edition,Near Mint,English,Secret Rare,245814,5142480
1,Amaze Attraction Cyclo-Coaster,Amaze Attraction Cyclo-Coaster,Lightning Overdrive,LIOV-EN071,LIOV,1st Edition,Near Mint,English,Ultra Rare,239537,4955744
1,Amazing Time Ticket,Amazing Time Ticket,Lightning Overdrive,LIOV-EN056,LIOV,1st Edition,Near Mint,English,Secret Rare,239522,4955669
1,Amazement Administrator Arlekino,Amazement Administrator Arlekino,Lightning Overdrive,LIOV-EN006,LIOV,1st Edition,Near Mint,English,Secret Rare,239460,4954489
1,Amaze Attraction Horror House,Amaze Attraction Horror House,Lightning Overdrive,LIOV-EN075,LIOV,1st Edition,Near Mint,English,Ultra Rare,239542,4955769
1,Ghost Sister & Spooky Dogwood,Ghost Sister & Spooky Dogwood,Maximum Gold,MAGO-EN013,MAGO,1st Edition,Near Mint,English,Premium Gold Rare,227431,4678657
1,Ghost Reaper & Winter Cherries,Ghost Reaper & Winter Cherries,2017 Mega-Tins Mega Pack,MP17-EN022,MP17,1st Edition,Near Mint,English,Secret Rare,141317,3453442
2,Ghost Reaper & Winter Cherries (Alternate Art),Ghost Reaper & Winter Cherries,Maximum Gold,MAGO-EN010,MAGO,1st Edition,Near Mint,English,Premium Gold Rare,227426,4678632
2,Summon Limit,Summon Limit,Battles of Legend: Hero's Revenge,BLHR-EN088,BLHR,1st Edition,Near Mint,English,Ultra Rare,193675,4129890
1,The Winged Dragon of Ra - Sphere Mode,The Winged Dragon of Ra - Sphere Mode,Duel Power,DUPO-EN045,DUPO,Unlimited,Near Mint,English,Ultra Rare,186935,4161164
1,Necroworld Banshee,Necroworld Banshee,Structure Deck: Zombie Horde,SR07-EN002,SR07,1st Edition,Near Mint,English,Super Rare,179255,3902527
1,Glow-Up Bloom,Glow-Up Bloom,Structure Deck: Zombie Horde,SR07-EN003,SR07,1st Edition,Near Mint,English,Super Rare,179256,3902532
1,Lair of Darkness,Lair of Darkness,Structure Deck: Lair of Darkness,SR06-EN022,SR06,1st Edition,Near Mint,English,Super Rare,165489,3641571
1,Zoodiac Broadbull,Zoodiac Broadbull,2017 Mega-Tins Mega Pack,MP17-EN206,MP17,1st Edition,Near Mint,English,Secret Rare,141702,3455557
1,Toon Dark Magician,Toon Dark Magician,2017 Mega-Tins Mega Pack,MP17-EN083,MP17,1st Edition,Near Mint,English,Super Rare,141444,3454267
1,Mystic Mine,Mystic Mine,Dark Neostorm,DANE-EN064,DANE,Unlimited,Near Mint,English,Super Rare,189419,4089848
1,Zoodiac Tigermortar,Zoodiac Tigermortar,2017 Mega-Tins Mega Pack,MP17-EN207,MP17,1st Edition,Near Mint,English,Ultra Rare,141703,3455562
1,El Shaddoll Fusion,El Shaddoll Fusion,Structure Deck: Shaddoll Showdown,SDSH-EN024,SDSH,Unlimited,Near Mint,English,Common / Short Print,208987,4601658
1,Return of the Monarchs,Return of the Monarchs,2014 Mega-Tins Mega Pack,MP14-EN173,MP14,Unlimited,Near Mint,English,Ultra Rare,92723,2868079
1,Red Supernova Dragon,Red Supernova Dragon,Ghosts From the Past,GFTP-EN045,GFTP,1st Edition,Near Mint,English,Ultra Rare,235776,4861580
1,Parlor Dragonmaid,Parlor Dragonmaid,Maximum Gold,MAGO-EN023,MAGO,1st Edition,Near Mint,English,Premium Gold Rare,227443,4678717
1,Tri-Brigade Airborne Assault,Tri-Brigade Airborne Assault,Phantom Rage,PHRA-EN053,PHRA,1st Edition,Near Mint,English,Secret Rare,226205,4627060
1,Ghost Belle & Haunted Mansion,Ghost Belle & Haunted Mansion,Maximum Gold,MAGO-EN012,MAGO,1st Edition,Near Mint,English,Premium Gold Rare,227429,4678647
1,Zombie World,Zombie World,Duel Overload,DUOV-EN091,DUOV,1st Edition,Near Mint,English,Ultra Rare,210300,4346654
1,Sky Striker Ace - Raye,Sky Striker Ace - Raye,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN259,MP19,Unlimited,Near Mint,English,Prismatic Secret Rare,197551,4349289
1,Mecha Phantom Beast Auroradon,Mecha Phantom Beast Auroradon,Duel Overload,DUOV-EN017,DUOV,1st Edition,Near Mint,English,Ultra Rare,210225,4346268
1,Ghost Sister & Spooky Dogwood (Alternate Art),Ghost Sister & Spooky Dogwood,Maximum Gold,MAGO-EN013,MAGO,1st Edition,Near Mint,English,Premium Gold Rare,227432,4678662
1,Aleister the Invoker,Aleister the Invoker,Shadows in Valhalla,SHVA-EN040,SHVA,1st Edition,Near Mint,English,Secret Rare,173526,3827020
2,Mistake,Mistake,2014 Mega-Tins Mega Pack,MP14-EN177,MP14,Unlimited,Near Mint,English,Secret Rare,92726,2868082
1,Cynet Mining,Cynet Mining,2020 Tin of Lost Memories,MP20-EN072,MP20,1st Edition,Near Mint,English,Super Rare,220789,4532520
1,Blackwing Full Armor Master,Blackwing Full Armor Master,Legendary Duelists: Season 2,LDS2-EN044,LDS2,1st Edition,Near Mint,English,Secret Rare,230285,4716815
1,Familiar-Possessed - Wynn (Alternate Art),Familiar-Possessed - Wynn,Structure Deck: Spirit Charmers,SDCH-EN040,SDSC,1st Edition,Near Mint,English,Ultra Rare,225008,4615297
2,"Jizukiru, the Star Destroying Kaiju","Jizukiru, the Star Destroying Kaiju",Structure Deck: Mechanized Madness,SR10-EN014,SR10,1st Edition,Near Mint,English,Common / Short Print,212654,4396143
1,Number 100: Numeron Dragon (Blue),Number 100: Numeron Dragon,Dragons of Legend: The Complete Series,DLCS-EN117,DLCS,1st Edition,Near Mint,English,Ultra Rare,222281,4579027
1,Number 24: Dragulas the Vampiric Dragon (Green),Number 24: Dragulas the Vampiric Dragon,Dragons of Legend: The Complete Series,DLCS-EN118,DLCS,1st Edition,Near Mint,English,Ultra Rare,222285,4579047
1,Downerd Magician,Downerd Magician,2014 Mega-Tins Mega Pack,MP14-EN225,MP14,Unlimited,Near Mint,English,Secret Rare,92774,2868130
1,Number C101: Silent Honor DARK,Number C101: Silent Honor DARK,2014 Mega-Tins Mega Pack,MP14-EN218,MP14,Unlimited,Near Mint,English,Ultra Rare,92767,2868123
1,Thunder Dragon Colossus,Thunder Dragon Colossus,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN183,MP19,Unlimited,Near Mint,English,Ultra Rare,197477,4348909
1,Ninja Grandmaster Saizo,Ninja Grandmaster Saizo,Shadows in Valhalla,SHVA-EN011,SHVA,1st Edition,Near Mint,English,Secret Rare,173476,3826770
1,Twin Twisters,Twin Twisters,Shadows in Valhalla,SHVA-EN059,SHVA,1st Edition,Near Mint,English,Secret Rare,173545,3827115
1,Thunder Dragondark,Thunder Dragondark,Soul Fusion,SOFU-EN019,SOFU,Unlimited,Near Mint,English,Ultra Rare,177981,3923249
1,Danger! Mothman!,Danger! Mothman!,Soul Fusion,SOFU-EN084,SOFU,Unlimited,Near Mint,English,Super Rare,178124,3923574
1,Elemental HERO Absolute Zero,Elemental HERO Absolute Zero,Generation Force SE,GENF-ENSE1,GENF-ENSE,Limited,Near Mint,English,Super Rare,60104,942331
2,Inspector Boarder,Inspector Boarder,Duel Devastator,DUDE-EN031,DD,1st Edition,Near Mint,English,Ultra Rare,199583,4217564
1,Abyss Dweller,Abyss Dweller,Duel Devastator,DUDE-EN016,DD,1st Edition,Near Mint,English,Ultra Rare,199567,4217379
1,Red Nova Dragon,Red Nova Dragon,High-Speed Riders,HSRD-EN024,HSRD,1st Edition,Near Mint,English,Rare,106021,2960135
2,Red Sprinter,Red Sprinter,High-Speed Riders,HSRD-EN015,HSRD,1st Edition,Near Mint,English,Super Rare,106012,2960090
1,Orcustrated Return,Orcustrated Return,Soul Fusion,SOFU-EN058,SOFU,Unlimited,Near Mint,English,Secret Rare,178098,3923444
1,"Gizmek Orochi, the Serpentron Sky Slasher","Gizmek Orochi, the Serpentron Sky Slasher",2020 Tin of Lost Memories,MP20-EN114,MP20,1st Edition,Near Mint,English,Ultra Rare,220834,4532755
1,"Dingirsu, the Orcust of the Evening Star","Dingirsu, the Orcust of the Evening Star",Duel Overload,DUOV-EN084,DUOV,1st Edition,Near Mint,English,Ultra Rare,210293,4346619
1,Super Express Bullet Train,Super Express Bullet Train,Legendary Duelists: Season 2,LDS2-EN121,LDS2,1st Edition,Near Mint,English,Ultra Rare,230366,4717640
2,Infinitrack Harvester,Infinitrack Harvester,The Infinity Chasers,INCH-EN001,INCH,1st Edition,Near Mint,English,Secret Rare,186368,3983509
3,Infinitrack Anchor Drill,Infinitrack Anchor Drill,2020 Tin of Lost Memories,MP20-EN207,MP20,1st Edition,Near Mint,English,Ultra Rare,220967,4533430
1,Superdreadnought Rail Cannon Juggernaut Liebe,Superdreadnought Rail Cannon Juggernaut Liebe,Legendary Duelists: Sisters of the Rose,LED4-EN034,LED4,1st Edition,Near Mint,English,Ultra Rare,183151,3939735
1,Heavy Forward,Heavy Forward,Eternity Code,ETCO-EN066,ETCO,1st Edition,Near Mint,English,Ultra Rare,213349,4412091
1,Number 39: Utopia (Astral),Number 39: Utopia,Battles of Legend: Armageddon,BLAR-EN000,BLAR-EN,1st Edition,Near Mint,English,Starlight Rare,217943,4497464
